topic,datetime,post_count,avg_sentiment
CL=F,2025-05-22 15:00:00,1,-0.2411
CL=F,2025-05-22 16:00:00,1,0.9161
CL=F,2025-05-22 17:00:00,1,0.8672
CL=F,2025-05-22 18:00:00,2,-0.24975
CL=F,2025-05-22 19:00:00,3,0.189467
CL=F,2025-05-22 20:00:00,6,0.27825
CL=F,2025-05-22 21:00:00,5,-0.13434
CL=F,2025-05-22 22:00:00,2,-0.0843
CL=F,2025-05-22 23:00:00,3,0.484
CL=F,2025-05-23 00:00:00,2,0.26595
CL=F,2025-05-23 01:00:00,3,0.2504
CL=F,2025-05-23 02:00:00,4,0.372225
CL=F,2025-05-23 03:00:00,3,0.3905
CL=F,2025-05-23 05:00:00,3,-0.325967
CL=F,2025-05-23 06:00:00,1,0.0
CL=F,2025-05-23 07:00:00,1,-0.4207
CL=F,2025-05-23 09:00:00,1,0.9076
CL=F,2025-05-23 15:00:00,1,-0.2411
CL=F,2025-05-23 16:00:00,1,-0.4404
CL=F,2025-05-23 18:00:00,1,0.0
CL=F,2025-05-23 19:00:00,6,0.246633
CL=F,2025-05-23 20:00:00,2,0.7643
CL=F,2025-05-23 21:00:00,2,-0.41125
CL=F,2025-05-23 22:00:00,4,0.1499
CL=F,2025-05-23 23:00:00,8,0.296425
CL=F,2025-05-24 00:00:00,3,0.3028
CL=F,2025-05-24 01:00:00,5,0.30612
CL=F,2025-05-24 02:00:00,1,0.0
CL=F,2025-05-24 03:00:00,2,0.32615
CL=F,2025-05-24 04:00:00,1,0.34
CL=F,2025-05-24 07:00:00,2,0.0
CL=F,2025-05-24 11:00:00,1,0.631
CL=F,2025-05-24 19:00:00,2,0.0
CL=F,2025-05-24 20:00:00,1,-0.5848
CL=F,2025-05-24 22:00:00,1,-0.6486
CL=F,2025-05-25 00:00:00,2,0.72935
CL=F,2025-05-25 03:00:00,3,-0.000933333
CL=F,2025-05-25 04:00:00,1,0.0
CL=F,2025-05-25 05:00:00,3,-0.0116333
CL=F,2025-05-25 09:00:00,1,0.0
CL=F,2025-05-25 20:00:00,2,0.49525
CL=F,2025-05-25 21:00:00,1,0.34
CL=F,2025-05-25 22:00:00,1,0.0
CL=F,2025-05-26 00:00:00,1,0.4588
CL=F,2025-05-26 01:00:00,1,-0.2411
CL=F,2025-05-26 02:00:00,1,-0.4939
CL=F,2025-05-26 09:00:00,1,-0.7351
CL=F,2025-05-26 12:00:00,1,0.9835
CL=F,2025-05-26 15:00:00,1,-0.2411
CL=F,2025-05-26 18:00:00,1,-0.9087
CL=F,2025-05-26 19:00:00,2,0.81735
